Age,Are you employed?,Do you have a vehicle/s?,Do you have any issues in handling your income and expenses? If so please mention.,Do you live alone and cover your own expenses?,How many people are in your house?,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),If u said other please mention what it was,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,Investment type,Risk_proxy_returns,Savings_Ratio,Timestamp,Unnamed: 21,What categories of income do you currently have?,What is your job?,What is your personal income?,What is your total household income?,detailed_advice,financial_priority,investment_advice_1,investment_advice_2,investment_advice_avoid
42,1,Yes,No,no,3,93500,80000,pension,,,53000.0,93500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.638225256,38.95833333,30/12/2024 12:26,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",retail store,140000,240000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Start Freelancing for Side Income,Don't Chase Unrealistic Returns
48,1,No,No,no,4,400000,"80,000",pension,,,168000.0,332000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.8,44.44444444,30/12/2024 12:30,,"Salary, Investments, Self-owned business",E-Commerce Specialist,60000,900000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Try Automated Saving Apps,Avoid High Leverage
44,1,Yes,No,no,5,14000,85000,pension,,,47000.0,129000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.079545455,7.368421053,29/12/2024 17:00,,Salary,lawyer,120000,190000,Consult a financial advisor,General Finance,Use Budgeting Tools,Start Freelancing for Side Income,Don't Ignore Inflation
40,1,Yes,No,no,3,44000,60000,pension,,,12500.0,103500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.379310345,27.5,10/01/2025 19:40,,"Salary, Investments, Self-owned business",Personal Manager,70000,160000,Consult a financial advisor,General Finance,Invest in REITs,Start ESG Investment,Don't Chase Unrealistic Returns
49,1,Yes,No,no,4,84500,"90,000",pension,,,24000.0,121500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.580756014,36.73913043,30/12/2024 12:26,,"Salary, Investments, Self-owned business",E-Commerce Manager,180000,230000,Consult a financial advisor,General Finance,Start Emergency Fund,Balanced Mutual Funds,Don't Trust Unlicensed Advisors
22,1,Yes,No,yes,1,1303000,200000,Wedding photography,87000.0,110000.0,,,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",6.614213198,86.86666667,04/01/2025 23:06,,"Investments (fixed deposits, stocks etc), Salary",Customer Rel. Manager,1500000,1500000,Consult a financial advisor,General Finance,Real Estate (small plots),Start Freelancing for Side Income,Don't Trust Unlicensed Advisors
42,1,Yes,No,no,3,17000,"80,000",pension,,,23500.0,139500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.104294479,9.444444444,10/01/2025 19:40,,"Freelancing, Brand endorsements",Mechanical Engineer,65000,180000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Precious Metal Mutual Funds,Avoid Emotion-Driven Decisions
21,1,Yes,No,no,3,1162500,"40,000",,,,178000.0,299500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",2.434554974,70.88414634,30/12/2024 12:44,,"Salary, Investments, Self-owned business",Compliance Specialist,1500000,1640000,Consult a financial advisor,General Finance,Invest in Index Funds,Stock Options Learning,Avoid High-Risk Derivatives
24,1,No,No,no,2,162000,60000,pension,,,59000.0,129000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.861702128,46.28571429,04/01/2025 23:06,,"Investments (fixed deposits, stocks etc), Salary",Chemist,180000,350000,Consult a financial advisor,General Finance,Conservative Hybrid Funds,Start ESG Investment,Avoid Ponzi Schemes
24,1,Yes,No,no,5,8500,75000,,,,28500.0,143000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.049562682,4.722222222,04/01/2025 22:30,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Retired production manager,180000,180000,Consult a financial advisor,General Finance,Consider Pension Schemes,Start Robo-Advisory Investment,Avoid Overexposure to One Sector
41,1,No,No,no,2,79000,"60,000",pension,,,19000.0,52000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.112676056,52.66666667,30/12/2024 13:03,,"Investments (fixed deposits, stocks etc), Salary",Senior insurance Executive,100000,150000,Consult a financial advisor,General Finance,Invest in Index Funds,Start Freelancing for Side Income,Don't Trust Unlicensed Advisors
58,1,No,No,no,2,117500,"90,000",pension,,,48000.0,94500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.824561404,45.19230769,30/12/2024 12:30,,"Salary, Investments, Freelancing",Store keeper,130000,260000,Consult a financial advisor,General Finance,Invest in Index Funds,Explore Foreign Stocks,Avoid High Leverage
35,1,No,No,no,4,1186500,"90,000",pension,,,215000.0,398500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.93398533,65.91666667,29/12/2024 17:00,,Salary,Workshop manager,100000,1800000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Explore Structured Products,Avoid Ignoring Fees
28,1,Yes,No,no,2,12000,"70,000",,,,33000.0,185000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.055045872,5.217391304,04/01/2025 23:10,,"Investments (fixed deposits, stocks etc), Salary",assistant ,120000,230000,Consult a financial advisor,General Finance,Buy ETFs,Dividend-paying Stocks,Avoid High Leverage
48,1,Yes,No,no,2,9000,90 000,pension,,,7500.0,58500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.136363636,12.0,30/12/2024 12:18,,Freelancing,Mechanical Engineer,70000,75000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Use AI-based Portfolio Managers,Avoid Unregulated Investments
24,0,Yes,No,no,4,89500,"20,000",,,,43000.0,187500.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.388286334,27.96875,10/01/2025 19:40,,"Salary, Investments, Self-owned business",unemployed,170000,320000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Invest in Collectibles,Avoid Ignoring Fees
53,1,Yes,No,no,4,292500,85000,pension,,,47000.0,160500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.409638554,58.5,10/01/2025 19:40,,"Salary, Investments, Self-owned business",Receptionist,500000,500000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Real Estate Trusts,Avoid Undocumented Assets
56,1,Yes,No,no,4,44000,200 000,pension,,,87000.0,299000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.113989637,10.23255814,27/12/2024 20:51,,"Investments (fixed deposits, stocks etc), Salary",HR Manager,250000,430000,Consult a financial advisor,General Finance,Invest in REITs,Start ESG Investment,Avoid Ignoring Fees
22,1,Yes,No,no,3,7000,35 000,,,,19000.0,94000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.061946903,5.833333333,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Stagehand,35000,120000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Stock Options Learning,Avoid Timing the Market
48,1,Yes,No,no,3,33000,500000,pension,,,23500.0,103500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.25984252,20.625,04/01/2025 23:06,,"Salary, Investments",Supervisor,160000,160000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Try Automated Saving Apps,Avoid Undocumented Assets
20,1,Yes,No,no,3,1208000,500000,pension,,,241000.0,351000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",2.040540541,67.11111111,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Salary",merchandiser,150000,1800000,Consult a financial advisor,General Finance,Invest in Index Funds,Green Bonds,Don't Skip Retirement Planning
50,1,Yes,Yes,no,3,33000,70000,pension,,,75000.0,92000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.19760479,16.5,30/12/2024 13:03,,"Salary, Investments, Self-owned business",Workshop manager,150000,200000,Consult a financial advisor,General Finance,Invest in Unit Trusts,Diversify with Islamic Finance,Don't Chase Unrealistic Returns
25,1,Yes,No,no,4,32500,25000,pension,,,38000.0,209500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.131313131,11.60714286,10/01/2025 19:40,,"Salary, Investments, Freelancing",merchandiser,160000,280000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Start Robo-Advisory Investment,Don't Ignore Inflation
37,1,Yes,No,no,5,15500,85000,pension,,,28000.0,196500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.069042316,6.458333333,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Salary",small grocery shop,160000,240000,Consult a financial advisor,General Finance,Real Estate (small plots),Green Bonds,Avoid Non-Diversified Portfolios
41,1,Yes,No,no,2,83500,280 000,pension,,,13000.0,63500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.091503268,52.1875,25/12/2024 14:22,,"Salary, Investments",Assistant engineer,150000,160000,Consult a financial advisor,General Finance,Buy ETFs,Invest in Collectibles,Avoid Investing Without Emergency Fund
52,1,Yes,No,no,3,78500,80 000,,,,23000.0,98500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.646090535,39.25,10/01/2025 19:40,,"Freelancing, Brand endorsements",Structural design engineer,160000,200000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Open Dollar Account,Avoid Ponzi Schemes
57,1,Yes,No,no,4,21000,"85,000",pension,,,73000.0,136000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.100478469,9.130434783,04/01/2025 22:30,,"Salary, Commission, Investments",Material Engineer,140000,230000,Consult a financial advisor,General Finance,Real Estate (small plots),Diversify with Islamic Finance,Don't Trust Unlicensed Advisors
23,1,Yes,No,no,5,27500,"85,000",pension,,,48000.0,144500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.142857143,12.5,30/12/2024 12:59,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Retired production manager,60000,220000,Consult a financial advisor,General Finance,Buy ETFs,Participate in Micro Investing,Avoid Non-Diversified Portfolios
26,1,Yes,No,no,4,286000,"8,000",pension,,,48000.0,166000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",1.336448598,57.2,29/12/2024 17:15,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",senior chemist,200000,500000,Consult a financial advisor,General Finance,Conservative Hybrid Funds,Real Estate Trusts,Don't Invest on Borrowed Money
45,0,Yes,No,no,5,1121000,"75,000",pension,,,230000.0,449000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",1.65095729,62.27777778,27/12/2024 20:51,,"Salary, Investments, Self-owned business",,150000,1800000,Consult a financial advisor,General Finance,Use Budgeting Tools,Explore Structured Products,Avoid Non-Diversified Portfolios
25,1,Yes,No,no,2,70500,80 000,,,,78000.0,91500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.415929204,29.375,30/12/2024 12:44,,"Investments (fixed deposits, stocks etc), Salary",Forman (Government),150000,240000,Consult a financial advisor,General Finance,Real Estate (small plots),Balanced Mutual Funds,Avoid Ignoring Fees
56,1,Yes,No,no,2,117500,300000,pension,,,20000.0,102500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.959183673,48.95833333,30/12/2024 12:30,,"Salary, Investments, Rental income",Environment specialist,150000,240000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Precious Metal Mutual Funds,Avoid Timing the Market
59,0,Yes,No,no,2,89000,60 000,pension,,,64000.0,147000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.421800948,29.66666667,30/12/2024 12:26,,"Salary, Commission, Investments",,300000,300000,Consult a financial advisor,General Finance,Use Budgeting Tools,Peer-to-Peer Lending,Don't Chase Unrealistic Returns
20,0,Yes,No,no,4,45000,500000,,,,55000.0,100000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.290322581,22.5,30/12/2024 12:44,,"Salary, Freelancing",none,200000,200000,Consult a financial advisor,General Finance,Real Estate (small plots),Precious Metal Mutual Funds,Don't Ignore Inflation
49,1,Yes,No,no,4,22000,60000,pension,,,36000.0,192000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.096491228,8.8,30/12/2024 12:26,,"Investments (fixed deposits, stocks etc), Salary",E-Commerce Specialist,160000,250000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Participate in Micro Investing,Avoid High Leverage
37,1,Yes,No,no,2,171500,"40,000",pension,,,58000.0,150500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.822541966,45.13157895,10/01/2025 19:40,,"Salary, Self-owned business",Window Dresser,150000,380000,Consult a financial advisor,General Finance,Conservative Hybrid Funds,Open Dollar Account,Avoid Unregulated Investments
30,1,Yes,No,no,3,29500,280 000,pension,,,100000.0,250500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.084165478,7.763157895,30/12/2024 12:44,,Freelancing,senior graduate teacher,15000,380000,Consult a financial advisor,General Finance,Use Budgeting Tools,Precious Metal Mutual Funds,Avoid Emotion-Driven Decisions
37,1,Yes,No,no,4,35000,20000,,,,25000.0,90000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.304347826,23.33333333,10/01/2025 19:40,,"Salary, Freelancing",small grocery shop,140000,150000,Consult a financial advisor,General Finance,Consider Pension Schemes,Try Crypto ETFs,Avoid Overlapping Insurance-Investments
22,1,No,No,no,2,38000,"8,000",,,,28500.0,103500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.287878788,22.35294118,10/01/2025 19:40,,"Salary, Investments, Self-owned business",Tyre Fitter,170000,170000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Try Automated Saving Apps,Avoid Ignoring Fees
46,1,Yes,No,no,4,73500,80 000,pension,,,88000.0,188500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.265822785,21.0,30/12/2024 12:37,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Workshop manager,180000,350000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Participate in Micro Investing,Avoid High-Risk Derivatives
24,1,Yes,No,no,3,27000,"140,000",Private practice,,,24500.0,108500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.203007519,16.875,05/01/2025 00:09,,Salary,Workshop manager,150000,160000,Consult a financial advisor,General Finance,Use Budgeting Tools,Explore Foreign Stocks,Don't Chase Unrealistic Returns
44,1,No,No,no,2,193500,70 000,,,,90000.0,166500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.754385965,43.0,04/01/2025 23:39,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Stagehand,110000,450000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Invest in Collectibles,Avoid Ignoring Fees
33,1,No,No,no,2,38000,20000,pension,,,29500.0,92500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.31147541,23.75,30/12/2024 12:59,,"Salary, Freelancing",Office Manager,130000,160000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Try Crypto ETFs,Avoid Ignoring Fees
23,1,No,No,no,3,993000,40 000,Crop sales,,,139000.0,368000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",1.958579882,66.2,04/01/2025 22:47,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Senior insurance Executive,1500000,1500000,Consult a financial advisor,General Finance,Conservative Hybrid Funds,Explore Structured Products,Don't Trust Unlicensed Advisors
54,1,No,yes,no,4,44500,20 000,,,,34000.0,81500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.385281385,27.8125,13/12/2024 15:15,,"Salary, Self owned unofficial business (car rentals, house rentals etc)",senior graduate teacher,75000,160000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Precious Metal Mutual Funds,Avoid Emotion-Driven Decisions
24,1,Yes,yes,no,4,45500,300 000,,,,16500.0,98000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.397379913,28.4375,,,"Salary, Commission",Doctor,160000,160000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Explore Foreign Stocks,Avoid Overlapping Insurance-Investments
31,1,Yes,No,no,2,1191500,"140,000",,,,265000.0,343500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.958093673,66.19444444,13/12/2024 14:55,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Store keeper,40000,1800000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Balanced Mutual Funds,Don't Trust Unlicensed Advisors
42,1,Yes,No,no,4,268500,80000,pension,,,155000.0,276500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.622247972,38.35714286,30/12/2024 12:23,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Insurance Executive,130000,700000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Try Crypto ETFs,Avoid High-Risk Derivatives
28,0,Yes,yes,no,3,38500,"30,000",,,,31000.0,90500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.316872428,24.0625,04/01/2025 23:10,,"Salary, Freelancing",,160000,160000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Try Crowdfunding Platforms,Avoid Undocumented Assets
42,0,Yes,No,no,5,1078500,"250,000",pension,,,288000.0,433500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",1.494802495,59.91666667,27/12/2024 20:54,,"Investments (fixed deposits, stocks etc), Salary",,150000,1800000,Consult a financial advisor,General Finance,Invest in Unit Trusts,Balanced Mutual Funds,Avoid Timing the Market
34,1,Yes,No,no,3,29500,250000,,,,39000.0,111500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.196013289,16.38888889,30/12/2024 12:34,,"Salary, Pension",Insurance Manager,110000,180000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Open Dollar Account,Avoid Non-Diversified Portfolios
33,1,Yes,No,no,2,19500,"100,000",,,,41000.0,199500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.081081081,7.5,,,Salary,Compliance Specialist,140000,260000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Precious Metal Mutual Funds,Avoid Timing the Market
29,1,Yes,No,no,3,11500,25000,,,,11500.0,137000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.077441077,7.1875,10/01/2025 19:40,,"Investments (fixed deposits, stocks etc), Salary",University Lecturer,75000,160000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Balanced Mutual Funds,Avoid Investing Without Emergency Fund
37,1,Yes,No,no,3,36500,"70,000",pension,,,55000.0,108500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.22324159,18.25,30/12/2024 12:44,,"Salary, Self owned unofficial business (car rentals, house rentals etc)",Senior civil Engineer,15000,200000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Start Freelancing for Side Income,Avoid Overlapping Insurance-Investments
28,1,Yes,No,no,3,65000,"75,000",,,,16000.0,99000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.565217391,36.11111111,,,"Salary, Pension",Postmaster,120000,180000,Consult a financial advisor,General Finance,Buy Treasury Bonds,Dividend-paying Stocks,Avoid Undocumented Assets
45,0,Yes,yes,no,4,37500,65000,pension,,,44000.0,108500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.245901639,19.73684211,29/12/2024 17:00,,"Salary, Investments, Self-owned business",none,120000,190000,Consult a financial advisor,General Finance,Invest in REITs,Try Automated Saving Apps,Don't Ignore Inflation
29,1,No,No,no,5,156500,20 000,pension,,,100000.0,343500.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.352874859,26.08333333,,,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",Financial Advisor,600000,600000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Invest in Collectibles,Avoid Unregulated Investments
52,1,Yes,No,no,4,27500,80 000,,,,26000.0,246500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.100917431,9.166666667,30/12/2024 12:30,,"Salary, Freelancing",HR Manager,110000,300000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Peer-to-Peer Lending,Avoid Undocumented Assets
53,1,Yes,yes,no,4,1131000,90 000,pension,,,285000.0,384000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.69058296,62.83333333,30/12/2024 12:48,,"Investments (fixed deposits, stocks etc), Salary",Customer Rel. Manager,1500000,1800000,Consult a financial advisor,General Finance,Invest in Index Funds,Start ESG Investment,Avoid Ponzi Schemes
47,1,Yes,No,no,4,61500,"75,000",pension,,,24000.0,114500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.444043321,30.75,04/01/2025 23:46,,"Self owned unofficial business (car rentals, house rentals etc)",Electrical Engineering Tech,130000,200000,Consult a financial advisor,General Finance,Contribute to Retirement Fund,Explore Structured Products,Avoid Undocumented Assets
57,0,Yes,No,no,3,6000,"90,000",pension,,,30000.0,154000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.032608696,3.157894737,30/12/2024 12:23,,"Salary, Pension",,15000,190000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Try Crypto ETFs,Avoid Unregulated Investments
59,1,Yes,No,no,3,74000,70 000,,,,32000.0,154000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.397849462,28.46153846,30/12/2024 12:26,,"Salary, Commission",HR Manager,160000,260000,Consult a financial advisor,General Finance,Invest in Blue Chip Stocks,Real Estate Trusts,Avoid Frequent Trading
38,1,Yes,No,no,4,43500,70 000,,,,15500.0,101000.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.373390558,27.1875,30/12/2024 12:34,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Secretary,160000,160000,Consult a financial advisor,General Finance,Open High-Yield Savings Account,Dividend-paying Stocks,Avoid Ponzi Schemes
24,1,Yes,No,no,3,44500,"80,000",pension,,,38500.0,87000.0,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits",0.354581673,26.17647059,04/01/2025 23:10,,"Investments (fixed deposits, stocks etc), Salary",Hotel Manager,150000,170000,Consult a financial advisor,General Finance,Open a Forex Account,Start Robo-Advisory Investment,Avoid High Leverage
26,0,Yes,No,no,2,66500,80 000,,,,17000.0,86500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.642512077,39.11764706,30/12/2024 12:34,,Salary,,110000,170000,Consult a financial advisor,General Finance,Open a Forex Account,Participate in Micro Investing,Avoid Undocumented Assets
35,1,Yes,No,no,5,18000,"75,000",pension,,,27500.0,104500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.136363636,12.0,19/12/2024 15:18,,"Salary, Pension",Dancer,140000,150000,Consult a financial advisor,General Finance,Diversify with Mutual Funds,Explore Foreign Stocks,Don't Invest on Borrowed Money
30,1,No,No,no,3,63000,"90,000",pension,,,58000.0,139000.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.319796954,24.23076923,30/12/2024 12:48,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Accounts assistant,170000,260000,Consult a financial advisor,General Finance,Use Tax-Efficient Accounts,Start ESG Investment,Avoid Ponzi Schemes
24,1,Yes,No,no,3,46500,"80,000",,,,35000.0,118500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.302931596,23.25,,,"Salary, Investments",Procurement Specialist,100000,200000,Consult a financial advisor,General Finance,Invest in REITs,Try Crowdfunding Platforms,Don't Trust Unlicensed Advisors
27,1,Yes,No,no,4,43000,40000,pension,,,72000.0,105000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.242937853,19.54545455,30/12/2024 13:03,,"Salary, Investments, Rental income",Lighting Technician,180000,220000,Consult a financial advisor,General Finance,Real Estate (small plots),Explore Foreign Stocks,Avoid Ignoring Tax Implications
53,1,No,No,no,3,41000,65 000,pension,,,34000.0,95000.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.317829457,24.11764706,04/01/2025 22:47,,"Salary, Freelancing",Doctor,130000,170000,Consult a financial advisor,General Finance,Invest in Gold Bonds,Try Crypto ETFs,Don't Ignore Inflation
45,1,Yes,No,no,2,173500,25 000,,,,65000.0,141500.0,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver",0.840193705,45.65789474,30/12/2024 13:03,,"Salary, Pension",Tyre Fitter,200000,380000,Consult a financial advisor,General Finance,Start Emergency Fund,Start Freelancing for Side Income,Avoid High Leverage
59,1,Yes,No,no,3,192500,60 000,,,,64000.0,123500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",1.026666667,50.65789474,30/12/2024 12:59,,"Salary, Freelancing",Varnisher,75000,380000,Consult a financial advisor,General Finance,Start SIP (Systematic Investment Plan),Try Crowdfunding Platforms,Avoid Overexposure to One Sector
25,1,Yes,No,no,2,20500,30 000,pension,,,54000.0,195500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.082164329,7.592592593,30/12/2024 13:03,,"Investments (fixed deposits, stocks etc), Salary",Project Manager,270000,270000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Peer-to-Peer Lending,Avoid Investing Without Emergency Fund
58,1,No,No,no,3,90500,50000,,,,68000.0,101500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.533923304,34.80769231,10/01/2025 20:20,,Salary,Teacher,120000,260000,Consult a financial advisor,General Finance,Real Estate (small plots),Start Freelancing for Side Income,Avoid Ignoring Fees
28,1,Yes,No,no,4,5500,60000,,,,32000.0,182500.0,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules",0.025641026,2.5,27/12/2024 20:57,,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",Financial Advisor,65000,220000,Consult a financial advisor,General Finance,Invest in Corporate Bonds,Dividend-paying Stocks,Avoid Crypto Without Research
40,1,Yes,No,no,4,110500,"200,000",pension,,,51000.0,238500.0,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner",0.381692573,27.625,30/12/2024 12:37,,"Salary, Business profits",Insurance Manager,15000,400000,Consult a financial advisor,General Finance,Explore PPF/NSB Smart Saver,Real Estate Trusts,Avoid Ignoring Tax Implications
