Timestamp,Are you employed?,What is your job?,How many people are in your house?,What is your personal income?,What is your total household income?,What categories of income do you currently have?,If u said other please mention what it was,Do you have a vehicle/s?,Do you live alone and cover your own expenses?,"If you live alone, How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly","If you live alone, How much do you spend on basic needs monthly?",If you live with family How much do you spend for unwanted things (entertainment/snacks/leisure ) monthly,If you live with family How much do you spend on basic needs monthly?,,Do you have any issues in handling your income and expenses? If so please mention. ,How much do you save monthly?,How much do you want to save monthly ( could be different from what you actually save),Age,savings_ratio,financial_priority,detailed_advice,,risk proxy return,Investment type
04/01/2025 22:30,1,Sales executive,6,160000,"160,000","Freelancing, Brand endorsements",,Yes,no,,"90,000",12000,"75,000",,No,12000,180000,56,0.075,General Finance,Consult a financial advisor,,53.31530319,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:51,1,assistant ,3,150000,"200,000","Investments (fixed deposits, stocks etc), Salary",,Yes,no,,"90,000",110000,190000,,No,70000,"90,000",21,0.4666666666666667,General Finance,Consult a financial advisor,,59.90267615,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Draftsman,3,200000,"200,000","Salary, Investments, Rental income",pension,Yes,no,,"90,000",18000,130000,,No,45000,"70,000",47,0.225,General Finance,Consult a financial advisor,,61.96463413,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:30,1,Supervisor,5,160000,500 000,"Salary, Commission, Investments",pension,Yes,no,,"90,000",15000,80 000,,No,40000,30 000,26,0.25,General Finance,Consult a financial advisor,,69.92937555,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
04/01/2025 22:30,1,Financial Advisor,3,60000,150000,"Salary, Pension",,No,no,,"90,000",18000,80000,,No,150000,40000,52,2.5,General Finance,Consult a financial advisor,,63.39846672,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:26,1,Process Manager,5,120000,210000,"Salary, Commission, Investments",pension,Yes,no,,"90,000",40 000 ,"150,000",,No,70000,"40,000",39,0.5833333333333334,General Finance,Consult a financial advisor,,67.01741228,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
10/01/2025 20:10,1,Environment specialist,4,75000,210000,"Investments (fixed deposits, stocks etc), Salary",Theater gigs,Yes,no,,"90,000","40,000",125000,,No,18000,80000,58,0.24,General Finance,Consult a financial advisor,,55.18608063,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:54,1,Tyre Fitter,4,100000,250 000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",10 000,,,No,60000,30 000,53,0.6,General Finance,Consult a financial advisor,,64.06892603,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,Financial Advisor,2,60000,300 000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,"90,000",10 000,120 000,,No,45000,"20,000",24,0.75,General Finance,Consult a financial advisor,,72.61557861,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:53,1,Car Salesman,4,200000,200000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,,"40,000",85000,,No,40000,120 000,23,0.2,General Finance,Consult a financial advisor,,60.03262082,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:34,1,Draftsperson,5,160000,1300000,"Salary, Investments, Freelancing",pension,Yes,no,,,"15,000","140,000",,No,35000,50000,22,0.21875,General Finance,Consult a financial advisor,,67.45222347,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:44,1,Senior project Manager,5,160000,170000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",110000,"160,000",,No,5000,"60,000",22,0.03125,General Finance,Consult a financial advisor,,48.57380655,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:59,1,Warehouse Manager,4,120000,"160,000","Salary, Investments",,No,no,,"90,000",10 000,150000,,No,45000,"75,000",53,0.375,General Finance,Consult a financial advisor,,62.88406854,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:44,1,Varnisher,2,80000,500000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",25000,"140,000",,No,45000,"8,000",29,0.5625,General Finance,Consult a financial advisor,,65.89970101,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 20:51,1,Make-Up Artist,4,150000,450000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",10 000,"220,000",,No,8000,80 000,34,0.053333333,General Finance,Consult a financial advisor,,61.02214029,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
29/12/2024 17:12,1,Insurance Executive,4,130000,230000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",10000,180000,,No,70000,60000,37,0.5384615384615384,General Finance,Consult a financial advisor,,65.71177557,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:59,1,storekeeper,4,70000,1300000,"Salary, Commission",,No,no,,"90,000",15 000,160000,,No,3000,50 000,33,0.042857143,General Finance,Consult a financial advisor,,59.93059555,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:23,1,Marketing Manager,4,55000,180 000,"Salary, Freelancing",pension,Yes,no,,"90,000","12,000",90 000,,No,5000,"8,000",38,0.090909091,General Finance,Consult a financial advisor,,61.80992199,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 13:03,1,contract construction worker,2,125000,200 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",12000,90000,,No,5000,"85,000",56,0.04,General Finance,Consult a financial advisor,,54.50566789,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
27/12/2024 11:27,1,Workshop manager,3,15000,230000,"Freelancing, Brand endorsements",,Yes,no,,"90,000","18,000","90,000",,No,45000,20000,38,3,General Finance,Consult a financial advisor,,65.4273579,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
29/12/2024 17:00,1,Housewife,2,60000,350 000,"Salary, Investments, Freelancing",pension,Yes,no,,"90,000","15,000",180 000,,No,65000,"90,000",42,1.0833333333333333,General Finance,Consult a financial advisor,,68.6182528,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:59,1,Senior civil Engineer,2,200000,"220,000","Salary, Pension",pension,Yes,no,,"90,000",16000,"80,000",,No,180000,75000,35,0.9,General Finance,Consult a financial advisor,,64.14104713,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
27/12/2024 20:57,0,,2,140000,280000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",10 000,150000,,No,55000,"90,000",34,0.39285714285714285,General Finance,Consult a financial advisor,,66.0345693,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:26,1,Structural design engineer,2,130000,230000,"Salary, Investments, Self-owned business",pension,Yes,no,,"90,000",20 000,"130,000",,No,0,40 000,49,0,General Finance,Consult a financial advisor,,38.4,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 20:10,1,Window Dresser,4,150000,180 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",40000,150000,,yes,40000,65 000,59,0.26666666666666666,General Finance,Consult a financial advisor,,56.73969875,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Draftsperson,2,120000,"260,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",10 000,150 000,,No,45000,70 000,31,0.375,General Finance,Consult a financial advisor,,65.88406854,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:26,0,unemployed,2,160000,130 000,"Salary, Pension",,Yes,no,,"90,000",10 000,,,No,45000,"50,000",39,0.28125,General Finance,Consult a financial advisor,,65.22424552,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:30,1,Senior Civil Engineer,4,180000,900000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,"90,000",35 000,180 000,,No,45000,70 000,49,0.25,General Finance,Consult a financial advisor,,64.96315171,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,1,Teacher,4,130000,"160,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",110000,140000,,No,40000,"30,000",24,0.3076923076923077,General Finance,Consult a financial advisor,,54.68289156,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:37,1,Internal Auditor,5,120000,"280,000","Salary, Commission",pension,Yes,no,,"90,000",10 000,"90,000",,No,75000,"90,000",47,0.625,General Finance,Consult a financial advisor,,67.1943864,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,Quantity surveyor,2,200000,"200,000","Salary, Commission, Investments",Vehicle bonuses,Yes,no,,,100000,"180,000",,No,120000,30000,53,0.6,General Finance,Consult a financial advisor,,53.03339395,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:37,0,,2,150000,"150,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",10 000,"160,000",,No,47000,500000,46,0.31333333333333335,General Finance,Consult a financial advisor,,65.47895351,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:30,1,Insurance Manager,2,160000,"160,000","Salary, Freelancing",,Yes,no,,"90,000","40,000","120,000",,No,40000,280 000,34,0.25,General Finance,Consult a financial advisor,,58.26270889,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:34,1,Senior project Manager,4,200000,"200,000","Salary, Commission, Investments",,No,no,,"90,000","22,000","150,000",,No,5000,65 000,26,0.025,General Finance,Consult a financial advisor,,61.40064747,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
13/12/2024 14:38,1,Customer Rel. Manager,4,250000,"250,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,No,no,,"90,000","25,000",60 000,,No,15000,"100,000",22,0.06,General Finance,Consult a financial advisor,,66.60951434,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 13:03,1,CSR Specialist,4,200000,110 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",12000,85000,,No,1000000,50 000,28,5,General Finance,Consult a financial advisor,,72.13212438,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 20:03,0,unemployed,4,150000,"220,000","Salary, Investments, Rental income",pension,Yes,no,,"90,000","22,000","180,000",,Yes,60000,500000,20,0.4,General Finance,Consult a financial advisor,,68.64916977,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:26,1,Customer Rel. Manager,3,160000,170000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",15 000,"140,000",,No,500000,"80,000",32,3.125,General Finance,Consult a financial advisor,,71.25263168,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
,1,Hotel Manager,2,100000,"150,000",Salary,,No,no,,,"18,000","110,000",,Yes,25000,"50,000",39,0.25,General Finance,Consult a financial advisor,,61.51499409,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 13:03,1,Sales Manager,4,120000,1800000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,,"18,000",150000,,No,40000,60000,20,0.3333333333333333,General Finance,Consult a financial advisor,,68.18194536,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:26,1,Nurse,2,130000,"300,000","Freelancing, Brand endorsements",,Yes,no,,"90,000","35,000","160,000",,No,40000,"90,000",39,0.3076923076923077,General Finance,Consult a financial advisor,,58.62217728,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:37,1,Draftsman,2,170000,170000,"Salary, Commission, Investments",,Yes,no,,"90,000",10 000,"180,000",,No,5000,"30,000",25,0.029411764705882353,General Finance,Consult a financial advisor,,64.61646786,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:44,1,General manager,2,110000,240000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000","12,000","70,000",,Yes,50000,"8,000",52,0.45454545454545453,General Finance,Consult a financial advisor,,59.93379118,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,1,Secretary,3,200000,200 000,"Salary, Pension",,No,no,,"90,000","10,000",75 000,,yes,125000,180000,20,0.625,General Finance,Consult a financial advisor,,72.24483621,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:34,1,Forman (Government),4,70000,120000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",10000,150000,,No,400000,35 000,50,5.714285714285714,General Finance,Consult a financial advisor,,68.75360504,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:37,1,assistant ,5,160000,160000,"Salary, Investments, Self-owned business",,Yes,no,,"90,000",10 000,"150,000",,No,45000,10 000,39,0.28125,General Finance,Consult a financial advisor,,65.22424552,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
10/01/2025 19:40,1,Senior Civil Engineer,4,125000,210000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000","18,000",140000,,No,60000,70 000,55,0.48,General Finance,Consult a financial advisor,,58.55240657,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 13:03,1,Store keeper,3,85000,220 000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,170000,,No,40000,"90,000",47,0.47058823529411764,General Finance,Consult a financial advisor,,64.00776003,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:47,1,Draftsman,2,140000,170 000,Salary,pension,Yes,no,,"90,000",25 000,180000,,No,5000,70000,33,0.035714286,General Finance,Consult a financial advisor,,59.96410372,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
29/12/2024 17:12,1,Design Engineer,4,140000,65 000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",12 000,85000,,No,60000,"90,000",37,0.42857142857142855,General Finance,Consult a financial advisor,,63.8548585,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 23:39,1,Car Mechanic,2,600000,"600,000","Salary, Self-owned business",,Yes,no,,"90,000",10 000,60 000,,No,50000,"70,000",57,0.083333333,General Finance,Consult a financial advisor,,59.79696314,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,1,Brand Manager,4,250000,250000,"Salary, Investments, Self-owned business",,Yes,no,,"90,000",10000,150 000,,No,50000,25000,24,0.2,General Finance,Consult a financial advisor,,69.51539126,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:44,1,Window Dresser,3,120000,170000,"Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",100000,"160,000",,No,60000,"70,000",49,0.5,General Finance,Consult a financial advisor,,54.12199988,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,0,,3,130000,260000,"Salary, Pension",,Yes,no,,"90,000",110000,"160,000",,No,500000,80000,37,3.8461538461538463,General Finance,Consult a financial advisor,,58.08193358,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
10/01/2025 19:40,0,,4,1500000,"1,500,000","Freelancing, Brand endorsements",pension,Yes,no,,"90,000",15000,"140,000",,No,5000,85000,52,0.003333333,General Finance,Consult a financial advisor,,48.8250931,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
,1,CSR Specialist,2,85000,"130,000",Salary,,No,no,,,"10,000","70,000",,No,25000,"40,000",39,0.29411764705882354,General Finance,Consult a financial advisor,,62.30840226,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:26,1,Financial Advisor,3,120000,520000,"Investments (fixed deposits, stocks etc), Salary",,Yes,no,,"90,000",10 000,"80,000",,No,5000,"90,000",56,0.041666666666666664,General Finance,Consult a financial advisor,,57.24832972,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Chairman ((Government),2,65000,240000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",12000,"150,000",,No,50000,"90,000",38,0.7692307692307693,General Finance,Consult a financial advisor,,66.08977826,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:59,1,lawyer,2,160000,1300000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","15,000","200,000",,No,125000,50000,27,0.78125,General Finance,Consult a financial advisor,,71.28197532,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,General manager,2,160000,160000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",15 000,"180,000",,No,50000,75000,58,0.3125,General Finance,Consult a financial advisor,,60.08801635,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
13/12/2024 14:43,1,Vehicle Body Repairer,4,160000,520000,"Salary, Pension",pension,Yes,no,,,"20,000","150,000",,No,55000,20000,38,0.34375,General Finance,Consult a financial advisor,,63.0599599,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
04/01/2025 22:47,1,Chemical Lab Technician,2,130000,170 000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000","12,000","140,000",,No,40000,60 000,21,0.3076923076923077,General Finance,Consult a financial advisor,,68.68289156,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,1,Car Mechanic,4,140000,260000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,,40 000 ,85000,,No,3000,250000,32,0.021428571,General Finance,Consult a financial advisor,,56.27114682,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 13:03,1,Stagehand,3,160000,1300000,"Investments (fixed deposits, stocks etc), Salary",,No,no,,"90,000",22 000,150000,,No,5000,"40,000",22,0.03125,General Finance,Consult a financial advisor,,64.72380655,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
30/12/2024 12:26,1,lawyer,2,160000,190000,Freelancing,pension,Yes,no,,"90,000",10 000,"220,000",,No,45000,"8,000",51,0.28125,General Finance,Consult a financial advisor,,59.82424552,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,1,Nurse,3,200000,260000,"Salary, Investments, Rental income",pension,Yes,no,,"90,000","12,000","160,000",,No,20000,60 000,42,0.1,General Finance,Consult a financial advisor,,61.24083537,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:26,1,Environment specialist,2,140000,220 000,"Salary, Investments, Freelancing",pension,Yes,no,,"90,000","15,000",190000,,No,40000,65000,29,0.2857142857142857,General Finance,Consult a financial advisor,,68.64938673,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:46,1,Finance Manager,3,70000,120 000,"Salary, Commission",pension,Yes,no,,"90,000","28,000",85 000,,No,35000,170000,55,0.5,General Finance,Consult a financial advisor,,63.5361157,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
29/12/2024 17:00,0,,3,15000,250 000,"Salary, Commission, Investments",,Yes,no,,"90,000",10 000,160000,,No,50000,"90,000",46,3.3333333333333335,General Finance,Consult a financial advisor,,72.15605911,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:06,0,Retired,3,1500000,1500000,"Investments (fixed deposits, stocks etc), Salary",,No,no,,"90,000",14000,"80,000",,No,45000,"60,000",58,0.03,General Finance,Consult a financial advisor,,54.50275189,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,0,,4,180000,"250,000","Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",10 000,,,No,70000,"8,000",58,0.3888888888888889,General Finance,Consult a financial advisor,,60.65852017,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Production Manager,4,600000,"600,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000","10,000","90,000",,No,200000,"90,000",26,0.3333333333333333,General Finance,Consult a financial advisor,,68.70058537,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Draftsman,3,200000,520000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",10 000,70000,,No,45000,"70,000",36,0.225,General Finance,Consult a financial advisor,,62.3338649,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:37,1,Retired production manager,4,170000,"170,000","Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",12000,"130,000",,No,500000,65 000,25,2.9411764705882355,General Finance,Consult a financial advisor,,74.24110594,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
29/12/2024 17:00,1,senior chemist,2,70000,300000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",14000,150000,,No,70000,300000,36,1,General Finance,Consult a financial advisor,,64.13333333,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:30,1,Technologist,2,600000,240 000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000","25,000",150 000,,No,55000,"90,000",48,0.091666667,General Finance,Consult a financial advisor,,60.61186867,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,0,,2,110000,250 000,"Salary, Commission, Investments",,Yes,no,,"90,000","12,000",85 000,,No,55000,"40,000",28,0.5,General Finance,Consult a financial advisor,,71.60867468,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:44,1,Technologist,2,130000,"220,000",Salary,,No,no,,"90,000",12000,140000,,No,50000,80000,58,0.38461538461538464,General Finance,Consult a financial advisor,,61.25138307,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
13/12/2024 15:01,1,E-Commerce Specialist,5,125000,"220,000",Salary,,Yes,no,,"90,000",18 000,75000,,No,150000,80 000,35,1.2,General Finance,Consult a financial advisor,,68.86605068,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
13/12/2024 15:15,1,Expert Shop Assistant,2,65000,130000,"Salary, Self owned unofficial business (car rentals, house rentals etc)",,Yes,no,,"90,000",50 000,"200,000",,no,40000,40000,43,0.6153846153846154,General Finance,Consult a financial advisor,,67.08573015,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
10/01/2025 19:40,1,Finance Manager,4,125000,"280,000",Salary,pension,Yes,no,,"90,000",10 000,150000,,No,45000,"90,000",48,0.36,General Finance,Consult a financial advisor,,65.78847055,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:48,1,Senior project Manager,3,170000,200 000,"Salary, Investments, Freelancing",pension,No,no,,"90,000","40,000",190000,,No,60000,"70,000",24,0.35294117647058826,General Finance,Consult a financial advisor,,66.59528278,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 22:47,1,Junior Sales Representative,4,15000,160000,"Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",20 000,170000,,No,50000,280 000,36,3.3333333333333335,General Finance,Consult a financial advisor,,72.15605911,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:59,1,Car Salesman,2,90000,"200,000","Investments (fixed deposits, stocks etc), Salary",pension,Yes,no,,"90,000",10 000,140000,,No,80000,500000,26,0.8888888888888888,General Finance,Consult a financial advisor,,73.09025414,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
30/12/2024 12:18,1,Resident Engineer,2,50000,200 000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,85 000,,No,47000,65000,42,0.94,General Finance,Consult a financial advisor,,65.82844192,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
30/12/2024 12:26,1,Key Account Manager,4,150000,"200,000","Salary, Investments, Freelancing",pension,Yes,no,,"90,000",14000,"200,000",,No,45000,"85,000",47,0.3,General Finance,Consult a financial advisor,,63.96949877,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
29/12/2024 17:15,1,senior graduate teacher,4,100000,250000,"Freelancing, Brand endorsements",pension,Yes,no,,"90,000",10 000,160000,,No,70000,90 000,53,0.7,General Finance,Consult a financial advisor,,62.07060021,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
04/01/2025 23:53,1,Retired production manager,5,120000,380000,"Salary, Investments",pension,Yes,no,,"90,000",10 000,140000,,Yes,80000,"90,000",46,0.6666666666666666,General Finance,Consult a financial advisor,,67.35993479,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
10/01/2025 19:40,0,,4,1500000,"1,500,000","Salary, Investments, Commission",,Yes,no,,"90,000","10,000",150000,,No,60000,60000,22,0.04,General Finance,Consult a financial advisor,,65.27628938,"NSB Savings Plans, SLIC Life + Investment Hybrid, Recurring Deposits"
10/01/2025 20:20,1,Insurance Manager,2,160000,"350,000","Investments (fixed deposits, stocks etc), Salary",Event performances,Yes,no,,"90,000",12 000,80000,,No,50000,65000,33,0.3125,General Finance,Consult a financial advisor,,65.48801635,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
30/12/2024 12:48,1,Secretary,5,150000,300000,"Salary, Pension",pension,Yes,no,,"90,000",10000,120000,,No,65000,400000,31,0.43333333333333335,General Finance,Consult a financial advisor,,64.62842118,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
29/12/2024 17:15,1,senior chemist,2,170000,"200,000",Freelancing,pension,Yes,no,,"90,000",12 000,"180,000",,No,45000,"90,000",34,0.2647058823529412,General Finance,Consult a financial advisor,,62.68921901,"Balanced Mutual Funds, CSE Index Funds, Gold Bonds, PPF, LOLC Wealth Planner"
04/01/2025 23:53,1,Chairman ((Government),4,180000,"180,000","Investments (fixed deposits, stocks etc), Salary, Self owned unofficial business (car rentals, house rentals etc)",,No,no,,"90,000","25,000",130000,,No,45000,60 000,30,0.25,General Finance,Consult a financial advisor,,61.11699787,"Fixed Deposits, Debt Mutual Funds, NSB Smart Saver"
13/12/2024 15:19,1,Diagnostic Technician,4,40000,240000,"Investments (fixed deposits, stocks etc), Self owned unofficial business (car rentals, house rentals etc)",pension,Yes,no,,"90,000",18 000,150 000,,No,40000,70 000,29,1,General Finance,Consult a financial advisor,,71,"NSB Basic Account, Budgeting Tools, Financial Literacy Modules"
